...
block 984 at test/google/delta-blue.js:827, transfers: 146821 (avg/node: 63.175), pending: 1, contexts: 1, position: 15162929
===========  Scanning for messages ===========
test/google/delta-blue.js:18: [definite] ReferenceError, reading absent variable: document
function() at test/google/delta-blue.js:98 may be called from:
  test/google/delta-blue.js:594
function() at test/google/delta-blue.js:741 may be called from:
  test/google/delta-blue.js:750
function() at test/google/delta-blue.js:357 may be called from:
  test/google/delta-blue.js:444
  test/google/delta-blue.js:137
function() at test/google/delta-blue.js:200 may be called from:
  test/google/delta-blue.js:444
  test/google/delta-blue.js:137
function change(v,newValue) at test/google/delta-blue.js:838 may be called from:
  test/google/delta-blue.js:831
  test/google/delta-blue.js:826
  test/google/delta-blue.js:824
  test/google/delta-blue.js:822
function(elm) at test/google/delta-blue.js:36 may be called from:
  test/google/delta-blue.js:528
  test/google/delta-blue.js:720
  test/google/delta-blue.js:700
  test/google/delta-blue.js:817
  test/google/delta-blue.js:841
  test/google/delta-blue.js:649
  test/google/delta-blue.js:694
  test/google/delta-blue.js:707
  test/google/delta-blue.js:738
  test/google/delta-blue.js:791
  test/google/delta-blue.js:669
function Strength(strengthValue,name) at test/google/delta-blue.js:77 may be called from:
  test/google/delta-blue.js:116
  test/google/delta-blue.js:115
  test/google/delta-blue.js:114
  test/google/delta-blue.js:113
  test/google/delta-blue.js:112
  test/google/delta-blue.js:111
  test/google/delta-blue.js:110
===========  Statistics ===========
Node transfers: 146825

Call/construct nodes with potential call to non-function:                     40
Total number of call/construct nodes:                                         182
==> Call/construct nodes that are certain to never call non-functions:        78.0%

Read variable nodes with potential absent variable:                           8
Total number of (non-this) read variable nodes:                               446
==> Read variable nodes that are certain to never read absent variables:      98.2%

Property access nodes with potential null/undef base:                         90
Total number of property access nodes:                                        492
==> Property access nodes that are certain to never have null/undef base:     81.7%

Fixed-property read nodes with potential absent property:                     141
Total number of fixed-property read nodes:                                    365
==> Fixed-property read nodes that are certain to never have absent property: 61.3%

State: created=206784, makeWritableStore=194643
Obj: created=47525176, makeWritableProperties=11159631
Value cache: hits=11395320, misses=63055, finalSize=2232
Value object set cache: hits=5398872, misses=13351, finalSize=756
ScopeChain cache: hits=3626199, misses=402, finalSize=74
Analysis finished in 435681ms
